,id,count,docty,docdt,majdocty,colti,display_title,pdfurl,listing_relative_url,url_friendly_title,new_url,guid,origu,url,authors.0.author,authors.1.author,docna.0.docna,entityids.entityid,abstracts.cdata!,authors.2.author,authors.3.author,authors.4.author,authors.5.author,authors.6.author,authors.7.author,authors.8.author,EnvironmentalCategory
20,34241308,World,Policy Research Working Paper,2024-01-18T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10677; PROSPERITY",VAT Rate Structures in Theory and Practice,http://documents.worldbank.org/curated/en/099920201182414099/pdf/IDU12d02d19f1336a14e0c1b53714d134b306a9f.pdf,/research/2024/01/34241308/vat-rate-structures-theory-practice,http://documents.worldbank.org/curated/en/099920201182414099/IDU12d02d19f1336a14e0c1b53714d134b306a9f,2024/01/34241308/IDU12d02d19f1336a14e0c1b53714d134b306a9f,099920201182414099,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099920201182414099/IDU12d02d19f1336a14e0c1b53714d134b306a9f,"Thomas,Alastair Geoffrey Arthur",,VAT Rate Structures in Theory and Practice,34241308,"Most countries’ value-added tax (VAT)
            systems apply reduced VAT rates to a selection of
            expenditure items in order to achieve distributional goals,
            and (to a lesser extent) social and cultural objectives.
            This paper assesses the case for applying reduced VAT rates,
            with a particular focus on OECD countries where reduced
            rates feature prominently. It examines both the theoretical
            and empirical evidence, as well as practical considerations,
            and concludes that the case for reduced VAT rates is weak.
            In particular, the optimal indirect tax literature finds no
            redistributive role for reduced VAT rates when other more
            direct instruments are available. These theoretical findings
            are supported by the empirical literature that shows reduced
            VAT rates to be a poorly targeted means of supporting lower
            income households, particularly when compared to targeted
            cash transfer programs. Similarly, reduced VAT rates are
            unlikely to be a well-targeted way to encourage consumption
            of merit goods, while they also create significant
            administrative complexity. These findings have significant
            implications for tax reform in both developed and developing
            economies. In particular, where countries have the
            administrative capacity to implement effectively targeted
            cash transfer programs, they should use these programs to
            support poorer households instead of reduced VAT rates.",,,,,,,,
21,34243167,Grenada,Policy Research Working Paper,2024-01-22T00:00:00Z,Publications & Research,Policy Research working paper ; no. WPS 10678,"Fiscal Incidence on the Island:
            Grenada’s Fiscal System and Its Incidence",http://documents.worldbank.org/curated/en/099315201222443333/pdf/IDU1a5a6417d1a77d14ba51b09518a83e3fc689f.pdf,/research/2024/01/34243167/fiscal-incidence-island-grenada’s-fiscal-system-incidence,http://documents.worldbank.org/curated/en/099315201222443333/IDU1a5a6417d1a77d14ba51b09518a83e3fc689f,2024/01/34243167/IDU1a5a6417d1a77d14ba51b09518a83e3fc689f,099315201222443333,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099315201222443333/IDU1a5a6417d1a77d14ba51b09518a83e3fc689f,"Canavire Bacarreza,Gustavo Javier","Gómez Aliaga,Guillermo","Fiscal Incidence on the Island: Grenada’s
            Fiscal System and Its Incidence",34243167,"This paper examines the
            distributional effects of fiscal policy in Grenada. Using
            data from the 2017–18 Living Conditions and Household
            Budgets Survey and following the Commitment to Equity
            analysis framework, the paper estimates the effects of
            fiscal policy interventions on inequality and poverty. It
            analyzes the distributional incidence of direct and indirect
            taxes, direct transfers provided by social transfers and
            school feeding programs, and in-kind transfers generated by
            public services in health and education. The results show
            that Grenada has a tax system that is neutral on the
            value-added tax side and progressive on the personal income
            tax side. Furthermore, direct transfers make a modest
            contribution to poverty reduction and are almost neutral in
            their distributive impact. The results contribute to the
            understanding of who bears the burden of taxation and
            benefits from transfers and of how Grenada’s fiscal system
            can improve its redistributive effect.","Britton,Chevanne Regina Lygia","Rios Avila,Fernando","Jimenez Pozo,Wilson Leonardo","Granados Ibarra,Silvia Juliana","Li,Ran",,,
22,34243399,"Uganda,World",Policy Research Working Paper,2024-01-22T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10679; PEOPLE","The Costs Come before the
            Benefits: Why Donors Should Invest More in Refugee Autonomy
            in Uganda",http://documents.worldbank.org/curated/en/099825401222436103/pdf/IDU16a019d351e7a014fca1a36d11e801ee4a2d0.pdf,/research/2024/01/34243399/costs-come-before-benefits-donors-invest-more-refugee-autonomy-uganda,http://documents.worldbank.org/curated/en/099825401222436103/IDU16a019d351e7a014fca1a36d11e801ee4a2d0,2024/01/34243399/IDU16a019d351e7a014fca1a36d11e801ee4a2d0,099825401222436103,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099825401222436103/IDU16a019d351e7a014fca1a36d11e801ee4a2d0,"Atamanov,Aziz","Hoogeveen,Johannes G.","The Costs Come before the Benefits: Why
            Donors Should Invest More in Refugee Autonomy in Uganda",34243399,"When host countries allow refugees to
            earn income, two main groups benefit: refugees, who become
            financially autonomous, and international institutions that
            can reduce the humanitarian aid that would otherwise be
            needed to support refugees. Uganda is one of the more
            progressive countries when it comes to promoting the
            financial independence of refugees and shifting from
            humanitarian aid to development ways of working. This note
            considers how successful refugees in Uganda have been in
            becoming financially independent and estimates how
            assistance has been saved due to these efforts at economic
            inclusion. Using the international poverty line of US$2.15
            in 2017 purchasing power parities to proxy the costs of
            basic needs, the results suggest that the amount of total
            aid needed was reduced by almost 45 percent. They also show
            that many refugees live in poverty, implying that the
            present combination of aid and work is inadequate to assure
            a decent standard of living. While more assistance is needed
            in the short run, reductions in development assistance are
            feasible but require upfront investments in refugee earning
            capacity to realize them.","Reese,Benjamin Christopher",,,,,,,
23,34243842,Malawi,Policy Research Working Paper,2024-01-23T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10680; RRR; PEOPLE",Rural Labor and Long Recall Loss,http://documents.worldbank.org/curated/en/099314301232420189/pdf/IDU1f0a4a5fa17a29146e919386190683a48ead2.pdf,/research/2024/01/34243842/rural-labor-long-recall-loss,http://documents.worldbank.org/curated/en/099314301232420189/IDU1f0a4a5fa17a29146e919386190683a48ead2,2024/01/34243842/IDU1f0a4a5fa17a29146e919386190683a48ead2,099314301232420189,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099314301232420189/IDU1f0a4a5fa17a29146e919386190683a48ead2,"Ambler,Kate","Herskowitz,Sylvan Rene",Rural Labor and Long Recall Loss,34243842,"Surveys frequently rely on annual
            recall to capture individuals’ labor activities over the
            preceding year. This paper uses a panel of rural households
            in Malawi for a survey experiment to test the effect of a
            long, annual recall window on reported labor supply relative
            to a set of quarterly interviews. The paper documents large
            losses in reported labor participation using the long recall
            window with reductions of over 20 percent of reported
            activities and months worked and a 2.5 times greater
            incidence of reported unemployment relative to the shorter
            window. These losses are greater for activities further in
            the past and especially for individuals whose labor supply
            is reported by other family members, reaching up to 50
            percent for some outcomes. The profile of households’
            primary respondents, predominantly male and older, and
            differential effects by age further suggest that long recall
            may cause meaningful biases in the resulting data for women
            and younger household members.","Maredia,Mywish Karimbhai",,,,,,,
24,34243850,Indonesia,Policy Research Working Paper,2024-01-23T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10681; Impact Evaluation series; PEOPLE","Leveraging Women’s Views to
            Influence Gender Norms around Women Working : Evidence from
            an Online Intervention in Indonesia",http://documents.worldbank.org/curated/en/099424001232435449/pdf/IDU1edba8d7d10b7214eb11bfe31bb7ad3731c0c.pdf,/research/2024/01/34243850/leveraging-women’s-views-influence-gender-norms-around-women-working-evidence-online-intervention-indonesia,http://documents.worldbank.org/curated/en/099424001232435449/IDU1edba8d7d10b7214eb11bfe31bb7ad3731c0c,2024/01/34243850/IDU1edba8d7d10b7214eb11bfe31bb7ad3731c0c,099424001232435449,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099424001232435449/IDU1edba8d7d10b7214eb11bfe31bb7ad3731c0c,"Cameron,Lisa","Contreras Suarez,Diana Stella","Leveraging Women’s Views to Influence Gender
            Norms around Women Working : Evidence from an Online
            Intervention in Indonesia",34243850,"How to influence social norms that
            drive behavior in relation to women’s participation in
            employment is not well understood. Providing randomly
            selected participants with information on the extent of (i)
            women’s support for women with children working; (ii)
            husband’s support for sharing day-to-day childcare with
            wives; and (iii) mothers’ and mother-in-law’s support for
            working women, increased the probability of choosing an
            online career mentoring course for women over a shopping
            voucher of equal value by 25 percent. Information beyond
            women’s support for working women further increased support
            for women working for some groups, although not strongly so.","Setyonaluri,Diahhadi",,,,,,,
25,34244968,World,Policy Research Working Paper,2024-01-24T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10682; PLANET","The Impact of Climate Change on
            Work : Lessons for Developing Countries",http://documents.worldbank.org/curated/en/099842001242436996/pdf/IDU13fb2bcd51c7f1140371b61811281e0957f86.pdf,/research/2024/01/34244968/impact-climate-change-work-lessons-developing-countries,http://documents.worldbank.org/curated/en/099842001242436996/IDU13fb2bcd51c7f1140371b61811281e0957f86,2024/01/34244968/IDU13fb2bcd51c7f1140371b61811281e0957f86,099842001242436996,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099842001242436996/IDU13fb2bcd51c7f1140371b61811281e0957f86,"Feriga,Moustafa Amgad Moustafa Ahmed Moustafa","Lozano Gracia,Nancy","The Impact of Climate Change on Work :
            Lessons for Developing Countries",34244968,"What is the impact of climate change
            on labor Reviewing the evidence, this paper finds five areas
            of potential impact. Climate change may have an immediate
            effect on labor demand, labor supply and time allocation,
            on-the-job productivity, and income and vulnerability among
            the self-employed. In the medium term, climate change may
            lead to a reallocation of labor across economic activities
            and across space. Impact estimates typically rely on fixed
            effect estimation. These estimates require care when
            interpreted as they typically reflect the short-term direct
            impact of past events and abstract from potential
            adaptation. The paper discusses emerging work trying to
            address this, analyzing the responses by firms, farms,
            households, and workers. Together, the existing evidence
            points toward six potential areas of government response.
            Potential labor policies include green jobs, green skills,
            labor-oriented adaptation, flexible work regulation, labor
            market integration, and social protection. The paper
            concludes by setting out avenues for future research in this field.","Serneels,Pieter Maria",,,,,,,
26,34247621,Africa,Policy Research Working Paper,2024-01-29T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10683; PLANET","The Welfare Cost of Drought in
            Sub-Saharan Africa",http://documents.worldbank.org/curated/en/099325301292478621/pdf/IDU1ae0eac0e145d214c6218002156b672eb8155.pdf,/research/2024/01/34247621/welfare-cost-drought-sub-saharan-africa,http://documents.worldbank.org/curated/en/099325301292478621/IDU1ae0eac0e145d214c6218002156b672eb8155,2024/01/34247621/IDU1ae0eac0e145d214c6218002156b672eb8155,099325301292478621,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099325301292478621/IDU1ae0eac0e145d214c6218002156b672eb8155,"Gascoigne,Jon","Baquie,Sandra",The Welfare Cost of Drought in Sub-Saharan Africa,34247621,"This paper quantifies the impact of
            drought on household consumption for five main
            agroecological zones in Africa, developing vulnerability (or
            damage) functions of the relationship between rainfall
            deficits and poverty. Damage functions are a key element in
            models that quantify the risk of extreme weather and the
            impacts of climate change. Although these functions are
            commonly estimated for storm or flood damages to buildings,
            they are less often available for income losses from
            droughts. The paper takes a regional approach to the
            analysis, developing standardized hazard definitions and
            methods for matching hazard and household data, allowing
            survey data from close to 100,000 households to be used in
            the analysis. The damage functions are used to quantify the
            impact of historical weather conditions on poverty for eight
            countries, highlighting the risk to poverty outcomes that
            weather variability causes. National poverty rates are 1–12
            percent higher, depending on the country, under the worst
            weather conditions relative to the best conditions observed
            in the past 13 years. This amounts to an increase in the
            total poverty gap that ranges from US$4 million to US$2.4
            billion (2011 purchasing power parity).","Vinha,Katja Pauliina","Skoufias,Emmanuel","Calcutt,Evie Isabel Neall","Kshirsagar,Varun Sridhar","Meenan,Conor","Hill,Ruth",,
27,34247735,World,Policy Research Working Paper,2024-01-29T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10684; PEOPLE","Dysfunctional Family Management :
            Family-Managed Businesses and the Quality of Management Practices",http://documents.worldbank.org/curated/en/099626001292432099/pdf/IDU16da65b2c1ef8914b1a19d5e1ac4acf945a1b.pdf,/research/2024/01/34247735/dysfunctional-family-management-family-managed-businesses-quality-management-practices,http://documents.worldbank.org/curated/en/099626001292432099/IDU16da65b2c1ef8914b1a19d5e1ac4acf945a1b,2024/01/34247735/IDU16da65b2c1ef8914b1a19d5e1ac4acf945a1b,099626001292432099,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099626001292432099/IDU16da65b2c1ef8914b1a19d5e1ac4acf945a1b,"Islam,Asif Mohammed","Gatti,Roberta V.","Dysfunctional Family Management :
            Family-Managed Businesses and the Quality of Management Practices",34247735,"Better managed firms perform better.
            Existing evidence has shown that family-managed firms have
            poorer management practices. Several reasons have been
            proposed. Limiting to family members reduces the talent pool
            of potential managers. Family management creates
            disincentives for other talented workers given that the
            environment is not meritocratic. Family managers themselves
            may be less motivated given that they may not have to
            compete for the position. This study scales up the evidence
            by exploring the relationship between family managers and
            management practices for about 9,000 medium and large firms
            across 41 developing and advanced economies. The study
            contributes to the literature by investigating several
            internal and external operating factors that attenuate or
            accentuate the relationship between family management and
            the quality of management practices. The engagement of
            governments in terms of corruption and political connections
            is found to be influential.",,,,,,,,
28,34248402,World,Policy Research Working Paper,2024-01-30T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10685; PROSPERITY","Just Transition : Issues for
            Central Banks and Financial Regulators",http://documents.worldbank.org/curated/en/099400201302418524/pdf/IDU1b60fc889152fd141721bc2a18de8e26e97cd.pdf,/research/2024/01/34248402/just-transition-issues-central-banks-financial-regulators,http://documents.worldbank.org/curated/en/099400201302418524/IDU1b60fc889152fd141721bc2a18de8e26e97cd,2024/01/34248402/IDU1b60fc889152fd141721bc2a18de8e26e97cd,099400201302418524,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099400201302418524/IDU1b60fc889152fd141721bc2a18de8e26e97cd,"Calice,Pietro","Demekas,Dimitri G.","Just Transition : Issues for Central Banks
            and Financial Regulators",34248402,"Recent calls on central banks and
            financial regulators to use the tools at their disposal to
            help mitigate the negative economic and social impacts of
            climate policies are based on several false analogies
            between the energy transition and the “just” energy
            transition. The same false analogies explain why voluntary
            efforts to incorporate just transition considerations into
            private financial decisions and products copying approaches
            from climate finance have so far failed to gain traction.
            None of the above invalidates the just transition as a
            political aspiration. However, only the government has the
            legitimacy and authority to identify the regions or sectors
            where the negative impacts of the energy transition are to
            be mitigated, determine the extent and instruments for this
            mitigation, and adjust them over time in line with shifting
            social preferences. This is an essentially political task
            that cannot be delegated to technocratic agencies.
            Nevertheless, within the parameters established by the
            government, central banks and financial regulators can play
            a supporting role by ensuring accurate data on the social
            impact of the energy transition, enforcing disclosure
            requirements, sensitizing financial firms to just
            transition–related risks, and raising awareness among
            financial firms. However, they must be cautious not to
            overstep their mandate, and remain mindful of the
            limitations of their toolkit and of the risks and potential
            unintended consequences of their actions.",,,,,,,,
29,34248405,World,Policy Research Working Paper,2024-01-30T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10686; PEOPLE","Little Nomads : Economic and
            Social Impacts of Migration on Children",http://documents.worldbank.org/curated/en/099418301302435890/pdf/IDU113cacc80159c21491318dca10779c4990d0b.pdf,/research/2024/01/34248405/little-nomads-economic-social-impacts-migration-children,http://documents.worldbank.org/curated/en/099418301302435890/IDU113cacc80159c21491318dca10779c4990d0b,2024/01/34248405/IDU113cacc80159c21491318dca10779c4990d0b,099418301302435890,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099418301302435890/IDU113cacc80159c21491318dca10779c4990d0b,"Cortina Toro,Magdalena","Jimenez,Juan Miguel","Little Nomads : Economic and Social Impacts
            of Migration on Children",34248405,"This paper reviews the main findings
            from 113 studies produced between 1990 and 2023, focusing on
            the impact of migration on various child groups affected
            through the migration path, including left-behind, migrant
            (voluntary and forced), and native children. The findings
            reveal that migration influences children’s outcomes in
            complex and context-dependent ways, and it interacts
            dramatically with household demographics and public
            policies. Key results include the following: (i) left-behind
            children benefit from remittances but experience dramatic
            declines in their cognitive and non-cognitive development
            due to parental absence; (ii) immigrant children generally
            fare better than those in their origin countries but still
            underperform compared to native children in host countries;
            and (iii) the impacts of migration on native children
            largely depend on the adjustment of public service supply to
            meet increased demand. In cases where education services
            expand to meet rising demand, the effect on native children
            can be minimal or even positive. This paper emphasizes the
            need for more experimental or quasi-experimental research to
            examine the effectiveness of programs that support migrant
            and minor host children, and it calls for longitudinal data
            collection to better understand the challenges and needs of
            migrant children, particularly in developing countries.","Rozo Villarraga,Sandra Viviana",,,,,,,
30,34248497,West Bank and Gaza,Policy Research Working Paper,2024-01-30T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10687; RRR; PROSPERITY","Fiscal Policy, Poverty, and
            Inequality in a Constrained Environment : The Case of the
            West Bank and Gaza",http://documents.worldbank.org/curated/en/099646401302432923/pdf/IDU11fba1aab1fb111482e1a1441122a743dfde3.pdf,/research/2024/01/34248497/fiscal-policy-poverty-inequality-constrained-environment-case-west-bank-gaza,http://documents.worldbank.org/curated/en/099646401302432923/IDU11fba1aab1fb111482e1a1441122a743dfde3,2024/01/34248497/IDU11fba1aab1fb111482e1a1441122a743dfde3,099646401302432923,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099646401302432923/IDU11fba1aab1fb111482e1a1441122a743dfde3,"Amjad,Beenish","Carrasco Nunez,Haydeeliz","Fiscal Policy, Poverty, and Inequality in a
            Constrained Environment : The Case of the West Bank and Gaza",34248497,"This report analyzes the
            distributional impacts of the main taxes and transfers on
            households’ welfare in the West Bank and Gaza. The analysis
            uses the Commitment to Equity methodology, enabling
            comparison of the results to other countries where this
            framework has been applied. The report assesses the effects
            of government taxation, social expenditure, and indirect
            subsidies on poverty and inequality in the West Bank and
            Gaza. The results indicate that the combination of taxes and
            transfers modelled in the West Bank and Gaza reduces
            inequality by 6.5 Gini points but increases the national
            poverty headcount by 8.4 percentage points. These fiscal
            policy outcomes on poverty and inequality reduction are
            below average in terms of desirability compared to other
            lower-middle-income countries. The taxes and transfers
            modelled in the West Bank and Gaza achieve most inequality
            reduction through in-kind benefits from public basic
            education and public hospitals, followed by the Cash
            Transfer Program and the value-added tax (VAT). Their large
            impact on inequality reduction is explained by a combination
            of their progressivity and their size relative to household
            income. The redistributive effect of direct taxes, customs
            duties, and indirect subsidies is zero or close to zero.
            Indirect taxes represent the fiscal interventions
            contributing most to the increase in national poverty;
            customs duties followed by VAT represent the largest burden
            on households’ incomes. Direct transfers from social
            protection cannot offset the impoverishment effect from
            indirect taxes because they have very limited coverage. Only
            the poorest decile is a net cash beneficiary after paying
            taxes and receiving cashable transfers. The rest of the
            deciles are net payers to the fiscal system. To decrease
            poverty and inequality in the West Bank and Gaza, the most
            significant policy recommendation to emerge from the
            analysis is to expand direct transfers to the second and
            third deciles to compensate for indirect tax burdens.
            Financing this reform is feasible through domestic tax
            mobilization or through rationalization of inefficient fuel
            and electricity subsidies that benefit the top income
            deciles most.","Finn,Arden Jeremy","Goldman,Maya Scott",,,,,,
31,34249073,Lebanon,Policy Research Working Paper,2024-02-01T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10688; PROSPERITY","Globalization, Dutch Disease, and
            Vulnerability to External Shocks in a Small Open Economy :
            The Case of Lebanon in 1916 and 2019",http://documents.worldbank.org/curated/en/099324301312410845/pdf/IDU16cf9281c16b28145b51b4fa17b1af694b7a9.pdf,/research/2024/02/34249073/globalization-dutch-disease-vulnerability-external-shocks-small-open-economy-case-lebanon-1916-2019,http://documents.worldbank.org/curated/en/099324301312410845/IDU16cf9281c16b28145b51b4fa17b1af694b7a9,2024/02/34249073/IDU16cf9281c16b28145b51b4fa17b1af694b7a9,099324301312410845,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099324301312410845/IDU16cf9281c16b28145b51b4fa17b1af694b7a9,"Bou Habib,Chadi",,"Globalization, Dutch Disease, and
            Vulnerability to External Shocks in a Small Open Economy :
            The Case of Lebanon in 1916 and 2019",34249073,"This paper investigates the
            similarities between the economy of 1912 Mount Lebanon on
            the eve of the famine of 1916 and the economy of 2004
            Lebanon that set the stage for the major economic and social
            crisis of 2019. A simple general equilibrium simulation
            shows that, as long as the Lebanese economy remains reliant
            on foreign inflows, crises will persist, with different
            manifestations. Regardless of the period considered, foreign
            inflows increase domestic prices and induce real
            appreciation. Low productive capacities and insufficient job
            creation lead to high emigration. Emigration increases the
            reliance on foreign inflows, which in turn increase domestic
            prices and reduce competitiveness, hence triggering further
            emigration and further reliance on foreign inflows. Income
            and prices increase, but exports decline, and growth remains
            volatile. The interruption of the flows of capital and goods
            and the impossibility to migrate due to the First World War
            drove Lebanon into starvation in 1916. The interruption of
            inflows of capital in 2019 led to a major crisis and massive
            outmigration, as predicted through the simulations based on
            the structure of the Lebanese economy in 2004. The
            simulations effectively capture the impact of external
            shocks on the Lebanese economy and closely align with the
            actual changes in economic variables during 2005 to 2020.",,,,,,,,
32,34249090,World,Policy Research Working Paper,2024-01-31T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10689; PLANET","In Most Low- and Middle-Income
            Countries Pollution Levels Are Higher in Wealthier Areas",http://documents.worldbank.org/curated/en/099449201312441737/pdf/IDU12354a7cd103c314993198571ea404b85aecb.pdf,/research/2024/01/34249090/most-low--middle-income-countries-pollution-levels-higher-wealthier-areas,http://documents.worldbank.org/curated/en/099449201312441737/IDU12354a7cd103c314993198571ea404b85aecb,2024/01/34249090/IDU12354a7cd103c314993198571ea404b85aecb,099449201312441737,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099449201312441737/IDU12354a7cd103c314993198571ea404b85aecb,"Behrer,Arnold Patrick","Heft-Neal,Sam","In Most Low- and Middle-Income Countries
            Pollution Levels Are Higher in Wealthier Areas",34249090,"Air pollution is a major threat to
            health, and the dangers are particularly acute in low- and
            middle-income countries. However, little is known about how
            the burden of pollution is spread across the wealth
            distribution in these countries. This paper uses new data
            providing high-resolution wealth estimates for more than 100
            low- and middle-income countries, combined with equally
            high-resolution estimates of air pollution, to estimate how
            wealth is correlated with ambient air pollution around the
            world. The findings show that on average air pollution is
            positively correlated with wealth, but the relationship is
            highly heterogeneous across countries. The fact that air
            pollution and wealth are both disproportionately high in
            urban areas, where economic activity is largely
            concentrated, appears to drive this relationship. When the
            analysis is limited to anthropogenic sources of pollution,
            the relationship becomes less heterogeneous and more
            systematically positive. The paper also examines the
            relationship between pollution exposure and wealth within
            large cities around the world. Again, the findings show
            substantial heterogeneity across cities. The paper explores
            several hypotheses for this heterogeneity but does not find
            a single explanation. Economic concentration within cities
            appears to explain some of the relationship. Cities with
            more concentrated economic opportunity tend to have more
            positive correlations between pollution and wealth.",,,,,,,,
33,34249700,Africa,Policy Research Working Paper,2024-02-01T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10690; PEOPLE","The Growth Elasticity of Poverty
            : Is Africa Any Different ?",http://documents.worldbank.org/curated/en/099312502012418681/pdf/IDU1e36a6afa14bb414e6c192e61c45a54f4b453.pdf,/research/2024/02/34249700/growth-elasticity-poverty-africa-different,http://documents.worldbank.org/curated/en/099312502012418681/IDU1e36a6afa14bb414e6c192e61c45a54f4b453,2024/02/34249700/IDU1e36a6afa14bb414e6c192e61c45a54f4b453,099312502012418681,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099312502012418681/IDU1e36a6afa14bb414e6c192e61c45a54f4b453,"Wu,Haoyu","Atamanov,Aziz","The Growth Elasticity of Poverty : Is Africa
            Any Different ?",34249700,"On current trends, the future of
            global poverty reduction will be determined by Sub-Saharan
            Africa. Yet even during Sub-Saharan Africa’s period of high
            economic growth — roughly corresponding to the first decade
            and a half of the 2000s — the extent to which this growth
            translated into improved living standards for African
            households was hotly debated. This paper revisits the issue
            of Sub-Saharan Africa’s relatively low growth elasticity of
            poverty using a sample of 575 successive and comparable
            growth spells between 1981 and 2021. The findings confirm
            that, even controlling for initial differences in poverty,
            income levels, and inequality, Sub-Saharan Africa
            consistently had a significantly lower growth elasticity of
            poverty relative to other regions over this period. The
            lower growth elasticity of poverty, which has remained
            unchanged over time, is due to a lower passthrough between
            growth in gross domestic product per capita (or growth in
            household final consumption expenditure as measured by
            national accounts) and growth in household consumption
            expenditures as measured from surveys. Given the low
            passthrough of economic growth to households, Africa thus
            needs higher rates of economic growth than its peer
            countries in other regions to achieve equal rates of poverty
            reduction. Given the challenge of achieving this in the
            current global economic environment, success in reducing
            global poverty will require a focused effort to strengthen
            the effect of aggregate economic growth on household welfare
            in Sub-Saharan Africa. The results suggest that this will
            require (i) improved provision of basic education services
            and basic infrastructure, (ii) faster structural
            transformation, and (iii) a decrease in the occurrence and
            persistence of violent conflicts.","Bundervoet,Tom","Paci,Pierella",,,,,,
34,34249732,"Iran (Islamic Republic Of,Iraq",Policy Research Working Paper,2024-02-01T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10691; MNACE labor and gender research programs; PEOPLE","The Long-Term and
            Gender-Equalizing Impacts of the Islamic Republic of
            Iran-Iraq War in 1980–88 on School Access and Labor Market Performance",http://documents.worldbank.org/curated/en/099349102012434554/pdf/IDU1f87e964d10cb614d3219bdd1759b52b0527b.pdf,/research/2024/02/34249732/long-term-gender-equalizing-impacts-islamic-republic-iran-iraq-war-1980–88-school-access-labor-market-performance,http://documents.worldbank.org/curated/en/099349102012434554/IDU1f87e964d10cb614d3219bdd1759b52b0527b,2024/02/34249732/IDU1f87e964d10cb614d3219bdd1759b52b0527b,099349102012434554,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099349102012434554/IDU1f87e964d10cb614d3219bdd1759b52b0527b,"Xuan Hoang,Trung",,"The Long-Term and Gender-Equalizing Impacts
            of the Islamic Republic of Iran-Iraq War in 1980–88 on
            School Access and Labor Market Performance",34249732,"This paper uses the context of the
            Islamic Republic of Iran-Iraq war in 1980–88 to study the
            long-term impacts of exposure to the war during school years
            on educational attainment and labor market outcomes in Iraq.
            The analysis uses an event study and the Iraq Household
            Socio-Economic Surveys 2006–2007. The findings show that the
            Islamic Republic of Iran-Iraq conflict had a negative impact
            on the social welfare of men who were exposed to the war,
            including on social security, pension plan, health care,
            paid leave, and job permanence, while little impact on women
            is found. Additionally, the conflict reduced wages for both
            men and women. Furthermore, men who were exposed to the
            conflict were more likely to work in dangerous jobs or
            without air conditioning, while no evidence on this is found
            for women. The paper also shows the impact of the intensity
            of the Islamic Republic of Iran-Iraq war on educational
            attainment and labor market outcomes. It documents the
            education channel through which the war affects labor market
            outcomes, showing that the war decreased the educational
            levels of men and women born between 1971 and 1981. The
            findings are robust to a variety of robustness checks and
            falsification tests.",,,,,,,,
